Fecha de Pago;Tipo de Operación;Número de Movimiento;Operación Relacionada;Importe
2025-12-01T00:10:26Z;Cobro;2135453025080;135329502735;15000
2025-12-01T00:10:26Z;Retención Impuesto Ingresos Brutos Régimen SIRTAC;2135453025082;135329502735;-7.5
2025-12-01T00:10:26Z;Impuesto sobre los Créditos y Débitos en cobros;2135453025084;135329502735;-90
2025-12-01T00:10:26Z;Costo de Mercado Pago;2135453025086;135329502735;-145.5
2025-12-01T00:10:26Z;Retención Impuesto a los IIBB de Santa Fe;2135453025088;135329502735;-225
2025-12-01T00:15:12Z;Cobro;2135454735598;135946010652;5000
2025-12-01T00:15:12Z;Retención Impuesto Ingresos Brutos Régimen SIRTAC;2135454735600;135946010652;-2.5
2025-12-01T00:15:12Z;Impuesto sobre los Créditos y Débitos en cobros;2135454735602;135946010652;-30
2025-12-01T00:15:12Z;Costo de Mercado Pago;2135454735604;135946010652;-48.5
2025-12-01T00:15:12Z;Retención Impuesto a los IIBB de Santa Fe;2135454735606;135946010652;-75
2025-12-01T00:17:54Z;Cobro;2135336064607;135946095072;20000
2025-12-01T00:17:54Z;Retención Impuesto Ingresos Brutos Régimen SIRTAC;2135336064609;135946095072;-10
2025-12-01T00:17:54Z;Impuesto sobre los Créditos y Débitos en cobros;2135336064611;135946095072;-120
2025-12-01T00:17:54Z;Costo de Mercado Pago;2135336064613;135946095072;-194
2025-12-01T00:17:54Z;Retención Impuesto a los IIBB de Santa Fe;2135336064615;135946095072;-300
2025-12-01T00:29:24Z;Cobro;2135460467664;135946832492;10000
2025-12-01T00:29:24Z;Retención Impuesto Ingresos Brutos Régimen SIRTAC;2135460467666;135946832492;-5
2025-12-01T00:29:24Z;Impuesto sobre los Créditos y Débitos en cobros;2135460467668;135946832492;-60
2025-12-01T00:29:24Z;Costo de Mercado Pago;2135460467670;135946832492;-97
2025-12-01T00:29:24Z;Retención Impuesto a los IIBB de Santa Fe;2135460467672;135946832492;-150
2025-12-01T01:00:04Z;Cobro;2135354270157;135332099699;10000
2025-12-01T01:00:04Z;Retención Impuesto Ingresos Brutos Régimen SIRTAC;2135354270159;135332099699;-5
2025-12-01T01:00:04Z;Impuesto sobre los Créditos y Débitos en cobros;2135354270161;135332099699;-60
2025-12-01T01:00:04Z;Costo de Mercado Pago;2135354270163;135332099699;-97
2025-12-01T01:00:04Z;Retención Impuesto a los IIBB de Santa Fe;2135354270165;135332099699;-150
2025-12-01T01:42:09Z;Cobro;2135375145765;135950784914;10000
2025-12-01T01:42:09Z;Retención Impuesto Ingresos Brutos Régimen SIRTAC;2135375145767;135950784914;-5
2025-12-01T01:42:09Z;Impuesto sobre los Créditos y Débitos en cobros;2135375145769;135950784914;-60
2025-12-01T01:42:09Z;Costo de Mercado Pago;2135375145771;135950784914;-97
2025-12-01T01:42:09Z;Retención Impuesto a los IIBB de Santa Fe;2135375145773;135950784914;-150
2025-12-01T01:45:55Z;Cobro;2135377242895;135951070648;22000
2025-12-01T01:45:55Z;Retención Impuesto Ingresos Brutos Régimen SIRTAC;2135377242897;135951070648;-11
2025-12-01T01:45:55Z;Impuesto sobre los Créditos y Débitos en cobros;2135377242899;135951070648;-132
2025-12-01T01:45:55Z;Costo de Mercado Pago;2135377242901;135951070648;-213.4
2025-12-01T01:45:55Z;Retención Impuesto a los IIBB de Santa Fe;2135377242903;135951070648;-330
2025-12-01T01:54:56Z;Cobro;2135501877214;135335248905;10000
2025-12-01T01:54:56Z;Retención Impuesto Ingresos Brutos Régimen SIRTAC;2135501877216;135335248905;-5
2025-12-01T01:54:56Z;Impuesto sobre los Créditos y Débitos en cobros;2135501877218;135335248905;-60
2025-12-01T01:54:56Z;Costo de Mercado Pago;2135501877220;135335248905;-97
2025-12-01T01:54:56Z;Retención Impuesto a los IIBB de Santa Fe;2135501877222;135335248905;-150
2025-12-01T02:03:03Z;Cobro;2135506247728;135335802171;10000
2025-12-01T02:03:03Z;Retención Impuesto Ingresos Brutos Régimen SIRTAC;2135506247730;135335802171;-5
2025-12-01T02:03:03Z;Impuesto sobre los Créditos y Débitos en cobros;2135506247732;135335802171;-60
2025-12-01T02:03:03Z;Costo de Mercado Pago;2135506247734;135335802171;-97
2025-12-01T02:03:03Z;Retención Impuesto a los IIBB de Santa Fe;2135506247736;135335802171;-150
2025-12-01T04:45:31Z;Cobro;2135583271070;135342421027;45000
2025-12-01T04:45:31Z;Retención Impuesto Ingresos Brutos Régimen SIRTAC;2135583271072;135342421027;-22.5
2025-12-01T04:45:31Z;Impuesto sobre los Créditos y Débitos en cobros;2135583271074;135342421027;-270
2025-12-01T04:45:31Z;Costo de Mercado Pago;2135583271076;135342421027;-436.5
2025-12-01T04:45:31Z;Retención Impuesto a los IIBB de Santa Fe;2135583271078;135342421027;-675
2025-12-01T05:47:55Z;Cobro;2135613612930;135345096069;6500
2025-12-01T05:47:55Z;Retención Impuesto Ingresos Brutos Régimen SIRTAC;2135613612932;135345096069;-3.25
2025-12-01T05:47:55Z;Impuesto sobre los Créditos y Débitos en cobros;2135613612934;135345096069;-39
2025-12-01T05:47:55Z;Costo de Mercado Pago;2135613612936;135345096069;-63.05
2025-12-01T05:47:55Z;Retención Impuesto a los IIBB de Santa Fe;2135613612938;135345096069;-97.5
2025-12-01T06:05:43Z;Cobro;2135623393382;135962828576;4700
2025-12-01T06:05:43Z;Retención Impuesto Ingresos Brutos Régimen SIRTAC;2135623393384;135962828576;-2.35
2025-12-01T06:05:43Z;Impuesto sobre los Créditos y Débitos en cobros;2135623393386;135962828576;-28.2
2025-12-01T06:05:43Z;Costo de Mercado Pago;2135623393388;135962828576;-45.59
2025-12-01T06:05:43Z;Retención Impuesto a los IIBB de Santa Fe;2135623393390;135962828576;-70.5
2025-12-01T06:28:10Z;Cobro;2135636134980;135347655781;37800
2025-12-01T06:28:10Z;Retención Impuesto Ingresos Brutos Régimen SIRTAC;2135636134982;135347655781;-18.9
2025-12-01T06:28:10Z;Impuesto sobre los Créditos y Débitos en cobros;2135636134984;135347655781;-226.8
2025-12-01T06:28:10Z;Costo de Mercado Pago;2135636134986;135347655781;-366.66
2025-12-01T06:28:10Z;Retención Impuesto a los IIBB de Santa Fe;2135636134988;135347655781;-567
2025-12-01T06:39:42Z;Cobro;2135641971700;135964588094;4024
2025-12-01T06:39:42Z;Retención Impuesto Ingresos Brutos Régimen SIRTAC;2135641971702;135964588094;-2.01
2025-12-01T06:39:42Z;Impuesto sobre los Créditos y Débitos en cobros;2135641971704;135964588094;-24.14
2025-12-01T06:39:42Z;Costo de Mercado Pago;2135641971706;135964588094;-39.03
2025-12-01T06:39:42Z;Retención Impuesto a los IIBB de Santa Fe;2135641971708;135964588094;-60.36
2025-12-01T06:42:13Z;Cobro;2135643020582;135964968998;3211
2025-12-01T06:42:13Z;Retención Impuesto Ingresos Brutos Régimen SIRTAC;2135643020584;135964968998;-1.61
2025-12-01T06:42:13Z;Impuesto sobre los Créditos y Débitos en cobros;2135643020586;135964968998;-19.27
2025-12-01T06:42:13Z;Costo de Mercado Pago;2135643020588;135964968998;-31.15
2025-12-01T06:42:13Z;Retención Impuesto a los IIBB de Santa Fe;2135643020590;135964968998;-48.17
2025-12-01T06:51:35Z;Cobro;2135648043762;135965694422;4000
2025-12-01T06:51:35Z;Retención Impuesto Ingresos Brutos Régimen SIRTAC;2135648043764;135965694422;-2
2025-12-01T06:51:35Z;Impuesto sobre los Créditos y Débitos en cobros;2135648043766;135965694422;-24
2025-12-01T06:51:35Z;Costo de Mercado Pago;2135648043768;135965694422;-38.8
2025-12-01T06:51:35Z;Retención Impuesto a los IIBB de Santa Fe;2135648043770;135965694422;-60
2025-12-01T06:56:06Z;Cobro;2135529723083;135349589361;36000
2025-12-01T06:56:06Z;Retención Impuesto Ingresos Brutos Régimen SIRTAC;2135529723085;135349589361;-18
2025-12-01T06:56:06Z;Impuesto sobre los Créditos y Débitos en cobros;2135529723087;135349589361;-216
2025-12-01T06:56:06Z;Costo de Mercado Pago;2135529723089;135349589361;-349.2
2025-12-01T06:56:06Z;Retención Impuesto a los IIBB de Santa Fe;2135529723091;135349589361;-540
2025-12-01T06:57:09Z;Cobro;2135650710158;135965724004;45000
2025-12-01T06:57:09Z;Retención Impuesto Ingresos Brutos Régimen SIRTAC;2135650710160;135965724004;-22.5
2025-12-01T06:57:09Z;Impuesto sobre los Créditos y Débitos en cobros;2135650710162;135965724004;-270
2025-12-01T06:57:09Z;Costo de Mercado Pago;2135650710164;135965724004;-436.5
2025-12-01T06:57:09Z;Retención Impuesto a los IIBB de Santa Fe;2135650710166;135965724004;-675
2025-12-01T07:02:06Z;Cobro;2135532780355;135966263174;56085
2025-12-01T07:02:06Z;Retención Impuesto Ingresos Brutos Régimen SIRTAC;2135532780357;135966263174;-28.04
2025-12-01T07:02:06Z;Impuesto sobre los Créditos y Débitos en cobros;2135532780359;135966263174;-336.51
2025-12-01T07:02:06Z;Costo de Mercado Pago;2135532780361;135966263174;-544.02
2025-12-01T07:02:06Z;Retención Impuesto a los IIBB de Santa Fe;2135532780363;135966263174;-841.28
2025-12-01T07:04:14Z;Cobro;2135654342764;135350230909;2400
2025-12-01T07:04:14Z;Retención Impuesto Ingresos Brutos Régimen SIRTAC;2135654342766;135350230909;-1.2
2025-12-01T07:04:14Z;Impuesto sobre los Créditos y Débitos en cobros;2135654342768;135350230909;-14.4
2025-12-01T07:04:14Z;Costo de Mercado Pago;2135654342770;135350230909;-23.28
2025-12-01T07:04:14Z;Retención Impuesto a los IIBB de Santa Fe;2135654342772;135350230909;-36
2025-12-01T07:06:06Z;Cobro;2135534588449;135966421986;48615.3
2025-12-01T07:06:06Z;Retención Impuesto Ingresos Brutos Régimen SIRTAC;2135534588451;135966421986;-24.31
2025-12-01T07:06:06Z;Impuesto sobre los Créditos y Débitos en cobros;2135534588453;135966421986;-291.69
2025-12-01T07:06:06Z;Costo de Mercado Pago;2135534588455;135966421986;-471.57
2025-12-01T07:06:06Z;Retención Impuesto a los IIBB de Santa Fe;2135534588457;135966421986;-729.23
2025-12-01T07:14:09Z;Cobro;2135539142643;135967249116;16020
